Name,Age,Hometown,Job category,Race,Place,Season ,
Lesley Murphy[18],24,South,POLITICS,White,5,17,
Tierra LiCausi[19],24,Southwest,REALTOR,White,6,17,
Daniella McBride[20],24,West,FINANCE,White,7,17,
Selma Alameri[21],29,West,REALTOR,Middle eastern,7,17,
Sarah Herron[17][22],26,West,MARKETING,White,9,17,
Robyn Howard[16][23],24,Midwest,FINANCE,Black,10,17,
"Jacqueline ""Jackie"" Parr[24]",25,South,BEAUTY,White,11,17,
Amanda Meyer[17],26,South,ACTRESS/MODEL,White,12,17,
Leslie Hughes[17],28,South,SALES,Black,13,17,
"Kristina ""Kristy"" Kaminski[25]",25,Midwest,ACTRESS/MODEL,White,14,17,
Taryn Renee Daniels[26],30,Northwest,FITNESS,White,14,17,
Kacie Boguskie[27],25,South,ASSISTANT,White,16,17,
Brooke Burchette[28],25,East,POLITICS,Black,17,17,
Diana Weeks Willardson[29],31,West,BEAUTY,White,17,17,
"Katherine ""Katie"" Levans[30]",27,Midwest,FITNESS,White,19,17,
Ashley Harper[31],25,Mid atlantic,ACTRESS/MODEL,Black,20,17,
Ashley Palenkas[32],28,Midwest,BEAUTY,White,20,17,
Kelly Dutton[33],28,South,DANCER,White,20,17,
Keriann Miranda[34],29,West,FINANCE,White,20,17,
Lacey Latka[17],24,West,STUDENT,White,20,17,
Lauren Marchetti[35],27,East,WRITER,White,20,17,
Paige Vigil,25,Midwest,FITNESS,White,20,17,
Nikki Ferrell[6][7],26,Midwest,MEDICAL,White,1,18,
Clare Crawley[8],32,West,BEAUTY,White,2,18,
Andi Dorfman[9],26,South,LAWYER,White,3,18,
Renee Oteri[10],32,South,REALTOR,White,4,18,
Chelsie Webster[11],24,Midwest,TEACHER,White,5,18,
Sharleen Joynt[12][13],29,Canada,ART,Asian,6,18,
"Kathleen ""Kat"" Hurd[14]",29,Midwestt,SALES,White,7,18,
Cassandra Ferguson[15],22,Midwest,DANCER,White,8,18,
"Allison ""Alli"" Restko[13]",26,Midwest,NANNY,White,9,18,
Danielle Ronco[16],25,Midwest,MEDICAL,Black,9,18,
Kelly Travis[9][13],27,South,JOKE,White,9,18,
Elise Mosca[17],27,Mid atlantic,TEACHER,White,12,18,
Lauren Solomon[18],26,Midwest,ART,White,12,18,
Christy Hansen[19],24,Midwest,MARKETING,White,14,18,
"Lucinda ""Lucy"" Aragon[13]",25,West,JOKE,White,14,18,
Amy Long[20],27,South,NEWS,White,16,18,
Chantel Forrest[21],27,South,FINANCE,Black,16,18,
Victoria Lima[13],24,International,ASSISTANT,White,18,18,
Alexis Morgado[13][22],24,South,MARKETING,White,19,18,
Amy Jokinen[13],31,South,BEAUTY,White,19,18,
Ashley Poe[13],25,South,TEACHER,White,19,18,
Christine Llano[13][23],23,South,MILLITARY,White,19,18,
Kylie Lewis[13][24],23,Midwest,ART,White,19,18,
Lacy Faddoul[13][21],25,West,MEDICAL,White,19,18,
Lauren Higginson[13],25,South,JOKE,White,19,18,
Maggie Gantt[13][25],25,South,FINANCE,White,19,18,
Valerie Eredia[13][26],26,West,FITNESS,White,19,18,
Whitney Bischoff[6][7],29,South,MEDICAL,White,1,19,
Becca Tilley[9][10],25,South,MEDICAL,White,2,19,
Kaitlyn Bristowe[11],29,Canada,DANCER,White,3,19,
Jade Roper[7][13],28,Midwest,BEAUTY,White,4,19,
Carly Waddell[3],29,South,ART,White,5,19,
Britt Nilsson[7][13],27,Midwest,WAITRESS,White,6,19,
Megan Bell[6],24,South,BEAUTY,White,7,19,
Kelsey Poe[7][16],28,Midwest,TEACHER,White,8,19,
Ashley Iaconetti[7][18],26,Mid atlantic,NEWS,White,9,19,
Mackenzie Deonigi[6],21,Northwest,MEDICAL,White,10,19,
Samantha Steffen[13][19],27,Midwest,BEAUTY,White,10,19,
Ashley Salter[20],24,South,BEAUTY,White,12,19,
Juelia Kinney[6][22],30,Northwest,BEAUTY,White,12,19,
Nikki Delventhal[18],26,East,DANCER,White,12,19,
Jillian Anderson[23][24],25,Midwest,NEWS,White,15,19,
Amber James[6][25],29,Midwest,RESTAURANT JOB,Black,16,19,
Tracy Darakis[27],29,South,TEACHER,White,16,19,
Trina Scherenberg[13][28],33,Midwest,TEACHER,White,16,19,
Alissa Giambrone[18],24,East,FLIGHT ATTENDANT,White,19,19,
Jordan Branch[30],24,West,STUDENT,White,19,19,
Kimberly Sherbach[31],28,East,FITNESS,White,19,19,
Tandra Steiner[6],30,West,ASSISTANT,White,19,19,
Tara Eddings[6][33],26,South,JOKE,White,19,19,
Amanda Goerlitz[28],24,Midwest,DANCER,White,24,19,
Bo Stanley[34],25,West,ACTRESS/MODEL,White,24,19,
Brittany Fetkin[35],26,West,JOKE,White,24,19,
Kara Wilson[36],25,South,FITNESS,White,24,19,
Michelle Davis[6],25,West,RESTAURANT JOB,White,24,19,
Nicole Meacham[37][38],31,South,REALTOR,White,24,19,
Reegan Cornwell[13],28,West,JOKE,White,24,19,
Lauren Bushnell[9],25,East,FLIGHT ATTENDANT,White,1,20,
"Joelle ""JoJo"" Fletcher[6][11]",24,South,REALTOR,White,2,20,
Caila Quinn[12],24,Midwest,SALES,Asian,3,20,
Amanda Stanton[11][14],25,West,BEAUTY,White,4,20,
Becca Tilley[16],26,South,MEDICAL,White,5,20,
Emily Ferguson[a][11],23,West,WAITRESS,White,6,20,
Lauren Himle[18],25,Midwest,TEACHER,White,7,20,
Olivia Caridi[5][11],23,South,NEWS,White,8,20,
Leah Block[20],25,West,EVENT PLANNER,White,9,20,
Jennifer Saviano[21],25,South,EXECUTIVE,White,10,20,
Jubilee Sharpe[11],24,South,MILLITARY,Black,11,20,
Amber James[23],30,Midwest,RESTAURANT JOB,Black,12,20,
Rachel Tchen[25],23,South,NONE,White,12,20,
Haley Ferguson[a][11],23,West,WAITRESS,White,14,20,
Jami Letain[26],23,Canada,RESTAURANT JOB,Black,15,20,
Shushanna Mkrtychyan[28],27,West,FINANCE,White,15,20,
Lace Morris[20],25,West,REALTOR,White,17,20,
"Amanda ""Mandi"" Kremer[29]",28,Northwest,DENTIST,White,18,20,
"Jacqueline ""Jackie"" Dion[31]",23,West,MEDICAL,White,18,20,
Samantha Passmore[32],26,South,LAWYER,White,18,20,
"Lauren ""LB"" Barr[33]",23,South,BEAUTY,White,21,20,
Breanne Rice[34],30,Northwest,BEAUTY,White,22,20,
"Isabel ""Izzy"" Goodkind[36]",24,East,ART,White,22,20,
Jessica Moser[37],23,South,FINANCE,White,22,20,
Laura Esselman[38],24,South,EXECUTIVE,White,22,20,
Lauren Russell[39],26,South,TEACHER,White,22,20,
Maegan Miller[39],30,West,JOKE,White,22,20,
Tiara Soleim[40],27,Northwest,JOKE,White,22,20,
Vanessa Grimaldi[9],29,Canada,TEACHER,White,1,21,
Raven Gates[11][12],25,South,BEAUTY,White,2,21,
Rachel Lindsay[11],31,South,LAWYER,Black,3,21,
Corinne Olympios[11][14],24,South,EXECUTIVE,White,4,21,
Kristina Schulman[16],24,South,DENTIST,White,5,21,
Danielle Maltby[18],31,Midwest,MEDICAL,White,6,21,
Danielle Lombard[12][19],27,West,EXECUTIVE,White,7,21,
Whitney Fransway[21],25,Midwest,FITNESS,White,8,21,
Jasmine Goode[22],29,East,DANCER,Black,9,21,
Alexis Waters[11][23],23,East,JOKE,White,10,21,
Jaimi King[24],28,South,RESTAURANT JOB,White,10,21,
Josephine Tutman[22],24,West,MEDICAL,White,10,21,
Taylor Nolan[25],23,Northwest,MEDICAL,Black,13,21,
Astrid Loch[27],26,South,ASSISTANT,White,14,21,
Sarah Vendal[19],26,West,TEACHER,White,14,21,
Brittany Farrar[19],26,West,MEDICAL,White,16,21,
Christen Whitney[29][30],25,Midwest,ART,White,16,21,
Dominique Alexis[19],25,West,RESTAURANT JOB,Black,18,21,
Elizabeth Whitelaw[32],24,Midwest,MARKETING,White,19,21,
Hailey Merkt[33],23,Canada,ART,White,19,21,
Lacey Mark[34],25,East,MARKETING,White,19,21,
"Elizabeth ""Liz"" Sandoz[11]",29,Midwest,MEDICAL,White,19,21,
Angela Amezcua[36],26,Mid atlantic,ACTRESS/MODEL,White,23,21,
Briana Guertler[38],28,West,MEDICAL,White,23,21,
Ida Marie DeLosSantos[39],23,South,SALES,White,23,21,
Jasmine Brown[40],25,Northwest,FLIGHT ATTENDANT,Black,23,21,
Lauren Hussey[41],30,South,STUDENTT,White,23,21,
Michelle Ramkissoon[19][12],24,West,RESTAURANT JOB,Black,23,21,
Olivia Burnette[42],25,Northwest,SALES,Asian,23,21,
Susannah Milan[43],26,West,FINANCE,Black,23,21,
Becca Kufrin[6],27,Midwest,MARKETING,White,1,22,
Lauren Burnham[8],25,South,SALES,White,2,22,
Kendall Long[9],26,West,ART,White,3,22,
Tia Booth[11],26,South,MEDICAL,White,4,22,
Bekah Martinez[9][13],22,South,NANNY,White,5,22,
Seinne Fleming[9][15],27,South,REALTOR,Black,6,22,
Jacqueline Trumbull[16],26,South,SCIENCE/TECHNOLOGY,White,7,22,
Chelsea Roy[9][17][18],29,East,REALTOR,White,8,22,
Jenna Cooper[20][21],28,Mid atlantic,MARKETING,White,8,22,
Krystal Nielson[22],29,West,FITNESS,White,10,22,
Ashley Luebke[23],25,South,REALTOR,Black,11,22,
Maquel Cooper[25],23,West,ART,White,11,22,
Marikh Mathias[26],27,West,RESTAURANT JOB,Asian,11,22,
Brittany Taylor[27],30,South,RECRUITER,Black,14,22,
Caroline Lunny[23][29],26,East,REALTOR,White,14,22,
Bibiana Julian[9][23],30,South,ASSISTANT,White,16,22,
Annaliese Puccini[31],32,West,EVENT PLANNER,White,17,22,
Lauren Schleyer[8],31,South,MARKETING,White,18,22,
"Jennifer ""Jenny"" Delaney[32]",25,Midwest,ART,White,19,22,
Lauren Griffin[20],26,Midwest,RECRUITER,Black,19,22,
Valerie Biles,26,South,RESTAURANT JOB,White,19,22,
"Alison ""Ali"" Harrington[8]",27,West,BEAUTY,White,22,22,
Amber Wilkerson,29,Midwest,EXECUTIVE,White,22,22,
"Brianna ""Bri"" Amaranthus[35]",25,Northwest,NEWS,White,22,22,
Brittane Johnson,27,West,MARKETING,Black,22,22,
Jessica Carroll[36],26,Canada,NEWS,White,22,22,
Lauren Jarreau[37][38],33,South,STUDENT,White,22,22,
"D'Nysha ""Nysha"" Norris[27]",30,South,MEDICAL,Black,22,22,
Olivia Goethals[32],23,Midwest,MARKETING,Black,22,22,
Cassie Randolph[12],23,West,MEDICAL,White,1,23,
Hannah Godwin[14],23,South,BEAUTY,White,2,23,
Tayshia Adams[16],28,West,MEDICAL,Black,3,23,
Caelynn Miller-Keyes[17][18],23,South,BEAUTY,White,4,23,
Kirpa Sudick[20],26,West,DENTIST,Asian,5,23,
Heather Martin[22],23,West,STUDENT,White,6,23,
Hannah Brown[14][23],24,South,BEAUTY,White,7,23,
Katie Morton[24],26,South,SALES,Black,8,23,
Demi Burnett[26],23,South,ART,White,9,23,
Sydney Lotuaco[20],27,South,DANCER,Asian,10,23,
Nicole Lopez-Alvar[27],25,South,MARKETING,Hispanic,11,23,
Onyeka Ehie[26],24,East,SCIENCE/TECHNOLOGY,Black,12,23,
Elyse Dehlbom[28],31,Northwest,BEAUTY,White,13,23,
Courtney Curtis[20],23,South,RESTAURANT JOB,Black,14,23,
Tracy Shapoff[31],31,East,BEAUTY,White,14,23,
"Brianna ""Bri"" Barnes[32]",24,West,ACTRESS/MODEL,White,16,23,
Catherine Agro[27],26,South,ART,White,16,23,
Nina Bartula[17],30,Mid atlantic,SALES,White,16,23,
Caitlin Clemmens[34],25,Canada,REALTOR,White,16,23,
Alex Blumberg[20],29,Canada,JOKE,White,20,23,
Angelique Sherman[36],28,East,SALES,Black,20,23,
Annie Reardon[5][14],23,Midwest,FINANCE,White,20,23,
Erika McNutt[20],25,West,RECRUITER,White,20,23,
Alex Dillon[37],23,East,JOKE,White,24,23,
Devin Gooden[39],23,South,NEWS,Black,24,23,
Erin Landry[26],28,South,JOKE,White,24,23,
"Adrianne ""Jane"" Averbukh[40]",26,West,POLITICS,White,24,23,
Laura Pellerito[26],26,South,FINANCE,White,24,23,
Revian Chang[20],24,South,MEDICAL,Asian,24,23,
Tahzjuan Hawkins[20],25,West,FINANCE,Black,24,23,
Hannah Ann Sluss[10][20],23,South,ACTRESS/MODEL,White,1,24,
Madison Prewett[14][22],23,South,RECRUITER,White,2,24,
Victoria Fuller[24],26,South,SALES,White,3,24,
Kelsey Weier[11],28,Midwest,BEAUTY,White,4,24,
Kelley Flanagan[27],27,Midwest,LAWYER,White,5,24,
Natasha Parker[29],31,East,EVENT PLANNER,Black,6,24,
Mykenna Dorn[30],22,Canada,BEAUTY,White,7,24,
Sydney Hightower[32],24,South,MARKETING,Black,7,24,
Tammy Ly[33],24,East,ART,White,9,24,
Victoria Paul[12][34],27,South,MEDICAL,White,10,24,
Lexi Buchanan[29],26,South,MARKETING,White,11,24,
Shiann Lewis[29],27,West,TEACHER,Black,11,24,
Deandra Kanu[36][37],23,East,MEDICAL,Black,13,24,
Kiarra Norman[29],23,South,NANNY,Black,13,24,
Savannah Mullins[36],27,South,REALTOR,White,13,24,
Alayah Benavidez[38][36],24,South,DENTIST,White,13,24,
Alexa Caves[27],27,Midwest,BEAUTY,Black,17,24,
Jasmine Nguyen[36],25,South,FINANCE,Asian,17,24,
Sarah Coffin[10],24,South,MEDICAL,White,17,24,
Courtney Perry[40],26,South,BEAUTY,White,20,24,
Lauren Jones[42],26,West,EXECUTIVE,Black,20,24,
Payton Moran[43],24,East,FINANCE,White,20,24,
Avonlea Elkins[36],27,South,JOKE,White,23,24,
Eunice Cho[27],23,Midwest,FLIGHT ATTENDANT,Asian,23,24,
Jade Gilliland[45],26,West,BEAUTY,White,23,24,
Jenna Serrano[27],22,Midwest,STUDENT,White,23,24,
Katrina Badowski[27],28,Midwest,DANCER,White,23,24,
Kylie Ramos[42],26,West,SALES,White,23,24,
